year,start_capital,end_capital,return_pct,win_rate_pct,profit_factor,sharpe,max_dd_pct,n_trades,spy_return_pct
2021,50000.0,57272.46,14.54,52.7,1.513,1.865,-2.86,376,30.84
2022,57272.46,53126.09,-7.24,46.1,0.841,-0.71,-10.59,384,-18.65
2023,53126.09,59791.71,12.55,55.4,1.575,2.259,-3.15,386,26.71
2024,59791.71,63658.96,6.47,53.9,1.265,1.259,-3.47,419,26.05
2025,63658.96,65138.83,2.32,52.0,1.103,0.318,-5.2,252,18.89
2026,65138.83,69585.89,6.83,53.0,1.595,2.714,-2.61,166,9.89
