year,start_capital,end_capital,return_pct,win_rate_pct,profit_factor,sharpe,max_dd_pct,n_trades,spy_return_pct
2021,50000.0,57078.64,14.16,52.8,1.478,1.742,-3.41,324,30.84
2022,57078.64,54215.74,-5.02,47.5,0.879,-0.471,-8.15,339,-18.65
2023,54215.74,60805.05,12.15,55.8,1.66,2.147,-2.88,319,26.71
2024,60805.05,64935.65,6.79,54.3,1.259,1.359,-3.22,352,26.05
2025,64935.65,67620.56,4.13,55.2,1.167,0.495,-4.68,223,18.89
2026,67620.56,70971.58,4.96,57.2,1.471,1.938,-2.48,138,9.89
