symbol,side,entry_date,exit_date,entry_price,exit_price,qty,pnl_pct,pnl_dollar,exit_reason,hold_days
DVN,long,2021-01-05,2021-01-12,12.4925,14.9791,200,0.19904,497.31,max_hold,7
NVDA,long,2021-01-05,2021-01-12,13.0536,13.4291,191,0.02876,71.71,max_hold,7
COP,long,2021-01-05,2021-01-12,33.121,38.9342,75,0.17551,435.99,max_hold,7
SLB,long,2021-01-05,2021-01-12,19.7492,23.2456,126,0.17704,440.55,max_hold,7
WMT,long,2021-01-06,2021-01-13,45.0301,45.8315,55,0.0178,44.08,max_hold,7
CRM,long,2021-01-07,2021-01-14,213.4458,212.3875,11,-0.00496,-11.64,max_hold,7
META,long,2021-01-07,2021-01-14,263.7171,245.6191,9,-0.06863,-162.88,stop_loss,7
UNH,short,2021-01-07,2021-01-14,325.905,317.6599,7,0.0253,57.72,max_hold,7
COST,long,2021-01-08,2021-01-15,347.5005,341.7212,7,-0.01663,-40.46,max_hold,7
MA,long,2021-01-13,2021-01-15,339.3567,317.0828,7,-0.06564,-155.92,stop_loss,2
MSFT,long,2021-01-13,2021-01-20,204.5525,214.5453,12,0.04885,119.91,max_hold,7
DVN,long,2021-01-14,2021-01-21,14.6966,13.5619,174,-0.07721,-197.44,max_hold,7
META,long,2021-01-15,2021-01-21,245.8649,269.5073,10,0.09616,236.42,signal_fade,6
ADBE,long,2021-01-15,2021-01-22,462.7312,474.2728,5,0.02494,57.71,max_hold,7
JPM,short,2021-01-15,2021-01-22,120.3481,115.8314,21,0.03753,94.85,max_hold,7
V,long,2021-01-20,2021-01-27,195.09,191.9864,13,-0.01591,-40.35,max_hold,7
COST,long,2021-01-20,2021-01-27,334.5397,336.5251,7,0.00593,13.9,max_hold,7
SLB,long,2021-01-22,2021-01-27,21.0735,19.6406,122,-0.06799,-174.81,stop_loss,5
NVDA,long,2021-01-21,2021-01-28,13.3713,13.0159,193,-0.02657,-68.58,max_hold,7
BAC,long,2021-01-22,2021-01-29,27.507,26.1739,93,-0.04846,-123.98,max_hold,7
DVN,long,2021-01-22,2021-01-29,13.5755,12.8,190,-0.05712,-147.34,stop_loss,7
MRK,long,2021-01-22,2021-01-29,64.9372,62.5466,39,-0.03681,-93.24,max_hold,7
GS,long,2021-01-26,2021-02-02,249.8343,251.9404,10,0.00843,21.06,max_hold,7
UNH,long,2021-01-26,2021-02-02,318.9247,307.2346,8,-0.03665,-93.52,max_hold,7
COP,long,2021-01-27,2021-02-03,33.7301,35.8589,75,0.06311,159.66,max_hold,7
SLB,long,2021-01-28,2021-02-04,19.6603,22.402,128,0.13946,350.94,max_hold,7
AMD,long,2021-01-28,2021-02-04,89.8749,88.1059,28,-0.01968,-49.53,max_hold,7
MA,long,2021-01-28,2021-02-04,317.4972,332.1424,7,0.04613,102.52,max_hold,7
MSFT,short,2021-01-28,2021-02-04,224.9623,231.5146,11,-0.02913,-72.07,max_hold,7
JNJ,short,2021-01-28,2021-02-04,144.2546,141.5315,17,0.01888,46.29,max_hold,7
NVDA,long,2021-01-29,2021-02-05,13.029,13.6652,194,0.04884,123.44,max_hold,7
DVN,long,2021-02-01,2021-02-08,12.8128,14.4381,196,0.12685,318.56,max_hold,7
BAC,long,2021-02-01,2021-02-08,26.2001,28.8903,96,0.10268,258.26,max_hold,7
MRK,long,2021-02-01,2021-02-08,62.6092,60.2288,40,-0.03802,-95.21,max_hold,7
TSLA,long,2021-02-04,2021-02-11,285.1425,266.9531,9,-0.06379,-163.7,max_hold,7
SLB,long,2021-02-05,2021-02-12,22.4245,24.0861,115,0.0741,191.09,max_hold,7
UNH,long,2021-02-05,2021-02-12,302.1827,297.5631,8,-0.01529,-36.96,max_hold,7
WMT,long,2021-02-05,2021-02-12,44.5242,45.2487,58,0.01627,42.02,max_hold,7
AMD,long,2021-02-05,2021-02-12,88.1941,93.8531,29,0.06417,164.11,max_hold,7
CVX,long,2021-02-05,2021-02-12,71.399,74.8371,36,0.04815,123.77,max_hold,7
QCOM,long,2021-02-08,2021-02-16,130.8204,129.5524,19,-0.00969,-24.09,max_hold,8
DVN,long,2021-02-09,2021-02-16,14.4525,15.7333,180,0.08862,230.54,max_hold,7
MRK,long,2021-02-09,2021-02-16,60.2891,59.7156,43,-0.00951,-24.66,max_hold,7
ABBV,long,2021-02-10,2021-02-17,86.8478,86.2207,29,-0.00722,-18.19,max_hold,7
TSLA,long,2021-02-12,2021-02-19,267.2202,254.0862,9,-0.04915,-118.21,max_hold,7
QCOM,long,2021-02-17,2021-02-24,129.6821,123.9908,20,-0.04389,-113.83,max_hold,7
AAPL,long,2021-02-17,2021-02-24,127.7831,121.2653,20,-0.05101,-130.36,max_hold,7
MRK,long,2021-02-17,2021-02-24,59.7753,59.5151,43,-0.00435,-11.19,max_hold,7
ADBE,short,2021-02-17,2021-02-24,495.1623,471.4756,5,0.04784,118.43,max_hold,7
DVN,long,2021-02-19,2021-02-26,15.7338,16.8,166,0.06776,176.99,max_hold,7
TSLA,long,2021-02-25,2021-02-26,242.171,229.9216,10,-0.05058,-122.49,stop_loss,1
ABBV,long,2021-02-22,2021-03-01,85.7661,89.1105,30,0.03899,100.33,max_hold,7
META,long,2021-02-22,2021-03-01,255.8324,263.3346,10,0.02932,75.02,max_hold,7
WMT,long,2021-02-22,2021-03-01,42.749,40.7746,61,-0.04618,-120.44,max_hold,7
JPM,short,2021-02-22,2021-03-01,128.6148,131.5572,20,-0.02288,-58.85,max_hold,7
NVDA,long,2021-03-02,2021-03-03,13.8511,12.7429,188,-0.08,-208.33,stop_loss,1
HD,long,2021-02-25,2021-03-04,226.8502,220.0887,11,-0.02981,-74.38,max_hold,7
COST,long,2021-02-25,2021-03-04,322.3932,297.9571,8,-0.0758,-195.49,max_hold,7
AMZN,long,2021-02-25,2021-03-04,156.9154,150.1749,16,-0.04296,-107.85,max_hold,7
TSLA,long,2021-03-01,2021-03-04,230.1517,208.5823,11,-0.09372,-237.26,stop_loss,3
DVN,long,2021-03-01,2021-03-08,16.8168,18.7505,154,0.11498,297.79,max_hold,7
NVDA,long,2021-03-04,2021-03-08,12.7557,12.0796,202,-0.053,-136.56,stop_loss,4
TSLA,long,2021-03-05,2021-03-08,208.791,202.6253,12,-0.02953,-73.99,stop_loss,3
WMT,long,2021-03-02,2021-03-09,40.8154,39.953,64,-0.02113,-55.2,max_hold,7
AMD,long,2021-03-05,2021-03-12,79.0395,81.869,32,0.0358,90.55,max_hold,7
COST,long,2021-03-05,2021-03-12,298.2552,315.2205,8,0.05688,135.72,max_hold,7
NVDA,long,2021-03-09,2021-03-16,12.0917,12.9853,211,0.0739,188.55,max_hold,7
TSLA,long,2021-03-09,2021-03-16,202.828,218.8472,12,0.07898,192.23,max_hold,7
DVN,long,2021-03-11,2021-03-18,18.4566,17.277,140,-0.06391,-165.13,max_hold,7
JNJ,long,2021-03-12,2021-03-19,137.5938,136.6192,18,-0.00708,-17.54,max_hold,7
WMT,long,2021-03-12,2021-03-19,41.1289,40.7861,63,-0.00833,-21.6,max_hold,7
AMD,long,2021-03-15,2021-03-22,81.951,80.0899,31,-0.02271,-57.69,max_hold,7
NVDA,long,2021-03-17,2021-03-24,12.9983,12.4473,200,-0.04239,-110.2,max_hold,7
LLY,long,2021-03-17,2021-03-24,180.2803,171.8132,14,-0.04697,-118.54,max_hold,7
SLB,long,2021-03-17,2021-03-24,24.8514,23.8809,104,-0.03905,-100.93,max_hold,7
MRK,long,2021-03-18,2021-03-25,62.5681,61.6075,41,-0.01535,-39.38,max_hold,7
DVN,long,2021-03-19,2021-03-26,17.2943,17.4004,148,0.00614,15.71,max_hold,7
GOOGL,long,2021-03-19,2021-03-26,100.6448,100.1692,25,-0.00473,-11.89,max_hold,7
COP,long,2021-03-19,2021-03-26,44.2651,45.2249,58,0.02168,55.67,max_hold,7
MA,long,2021-03-22,2021-03-29,345.5011,349.8491,7,0.01258,30.44,max_hold,7
AMD,long,2021-03-23,2021-03-30,80.1701,76.5317,32,-0.04538,-116.43,max_hold,7
NVDA,long,2021-03-25,2021-04-01,12.4598,13.8096,205,0.10834,276.72,max_hold,7
SLB,long,2021-03-26,2021-04-05,24.8603,24.6303,103,-0.00925,-23.69,max_hold,10
DVN,long,2021-03-29,2021-04-05,17.4178,17.5547,147,0.00786,20.12,max_hold,7
GS,long,2021-03-29,2021-04-05,282.988,286.3586,9,0.01191,30.34,max_hold,7
TSLA,long,2021-03-30,2021-04-06,200.6836,228.8855,12,0.14053,338.42,max_hold,7
AMD,long,2021-03-31,2021-04-07,76.6083,83.2783,33,0.08707,220.11,max_hold,7
V,long,2021-03-31,2021-04-07,204.5548,211.484,12,0.03387,83.15,max_hold,7
JNJ,long,2021-04-01,2021-04-08,140.4618,139.9072,18,-0.00395,-9.98,max_hold,7
XOM,long,2021-04-01,2021-04-08,46.2122,45.9038,55,-0.00668,-16.97,max_hold,7
MA,long,2021-04-01,2021-04-08,346.5688,365.1184,7,0.05352,129.85,max_hold,7
NVDA,long,2021-04-05,2021-04-12,13.8234,15.1679,189,0.09726,254.11,max_hold,7
CVX,long,2021-04-06,2021-04-13,83.9288,82.5581,31,-0.01633,-42.49,max_hold,7
GS,long,2021-04-06,2021-04-13,286.6451,289.9416,9,0.0115,29.67,max_hold,7
DVN,long,2021-04-06,2021-04-13,17.5723,16.9222,149,-0.03699,-96.85,max_hold,7
TSLA,long,2021-04-08,2021-04-13,225.9062,256.7715,11,0.13663,339.52,signal_fade,5
MRK,long,2021-04-07,2021-04-14,61.6124,61.5266,42,-0.00139,-3.6,max_hold,7
ABBV,long,2021-04-08,2021-04-15,86.3725,89.0671,30,0.0312,80.84,max_hold,7
JNJ,long,2021-04-09,2021-04-16,140.0471,140.2351,18,0.00134,3.38,max_hold,7
COP,long,2021-04-09,2021-04-16,42.6703,42.5612,61,-0.00256,-6.65,max_hold,7
AMD,long,2021-04-13,2021-04-20,79.7098,78.9505,33,-0.00953,-25.06,max_hold,7
SLB,long,2021-04-14,2021-04-21,23.4494,22.9264,112,-0.0223,-58.58,max_hold,7
DVN,long,2021-04-14,2021-04-21,16.9392,16.3978,156,-0.03196,-84.46,max_hold,7
QCOM,long,2021-04-15,2021-04-22,121.5252,119.3863,21,-0.0176,-44.92,max_hold,7
META,long,2021-04-15,2021-04-22,303.8251,296.0112,8,-0.02572,-62.51,max_hold,7
BAC,long,2021-04-16,2021-04-23,34.6515,34.6521,76,2e-05,0.05,max_hold,7
COP,long,2021-04-19,2021-04-26,42.6038,41.8559,62,-0.01756,-46.37,max_hold,7
NVDA,long,2021-04-21,2021-04-28,15.0707,15.3357,173,0.01758,45.85,max_hold,7
JPM,long,2021-04-21,2021-04-28,130.3129,135.2476,20,0.03787,98.69,max_hold,7
DVN,long,2021-04-22,2021-04-29,16.4142,18.2103,160,0.10943,287.38,max_hold,7
SLB,long,2021-04-22,2021-04-29,22.9494,24.5143,114,0.06819,178.41,max_hold,7
AMD,long,2021-04-23,2021-04-30,80.2501,81.929,32,0.02092,53.73,max_hold,7
AVGO,long,2021-04-23,2021-04-30,41.4367,41.509,63,0.00175,4.56,max_hold,7
UNH,long,2021-04-28,2021-05-03,360.8468,369.8819,7,0.02504,63.25,signal_fade,5
COST,long,2021-04-27,2021-05-04,348.234,356.377,7,0.02338,57.0,max_hold,7
NVDA,long,2021-04-29,2021-05-06,15.3511,14.7464,174,-0.03939,-105.2,max_hold,7
DVN,long,2021-04-30,2021-05-07,18.2285,20.4008,146,0.11917,317.15,max_hold,7
MRK,long,2021-04-30,2021-05-07,59.5879,63.7676,44,0.07014,183.91,max_hold,7
MA,long,2021-04-30,2021-05-07,372.0727,364.837,7,-0.01945,-50.65,max_hold,7
AVGO,long,2021-05-03,2021-05-10,41.5505,38.3716,64,-0.07651,-203.45,max_hold,7
TSLA,long,2021-05-03,2021-05-10,234.7173,199.6468,11,-0.14942,-385.78,stop_loss,7
SLB,long,2021-05-03,2021-05-10,24.5835,27.592,108,0.12238,324.92,max_hold,7
AMD,long,2021-05-07,2021-05-13,78.7894,73.983,34,-0.061,-163.42,stop_loss,6
DVN,long,2021-05-10,2021-05-17,20.4212,21.1027,132,0.03337,89.95,max_hold,7
TSLA,long,2021-05-11,2021-05-18,199.8465,184.0912,13,-0.07884,-204.82,max_hold,7
QCOM,long,2021-05-11,2021-05-18,111.9194,113.5393,23,0.01447,37.26,max_hold,7
DVN,long,2021-05-18,2021-05-19,21.1238,19.4135,126,-0.08096,-215.49,stop_loss,1
HD,long,2021-05-13,2021-05-20,280.3415,278.3054,9,-0.00726,-18.33,max_hold,7
AVGO,long,2021-05-18,2021-05-25,40.1199,41.6011,66,0.03692,97.76,max_hold,7
TSLA,long,2021-05-19,2021-05-26,184.2754,206.6433,14,0.12138,313.15,max_hold,7
CVX,long,2021-05-20,2021-05-27,83.9946,84.3584,31,0.00433,11.28,max_hold,7
DVN,long,2021-05-20,2021-05-27,19.4329,20.6939,136,0.06489,171.49,max_hold,7
AMZN,long,2021-05-24,2021-06-01,160.8554,161.0744,16,0.00136,3.5,max_hold,8
XOM,long,2021-05-26,2021-06-02,48.4922,50.3565,55,0.03845,102.54,max_hold,7
MRK,long,2021-05-26,2021-06-02,62.8029,62.0804,42,-0.0115,-30.34,max_hold,7
DVN,long,2021-05-28,2021-06-04,20.7146,24.3035,129,0.17326,462.98,max_hold,7
CVX,long,2021-05-28,2021-06-04,84.4428,88.2254,31,0.0448,117.26,max_hold,7
AAPL,long,2021-05-28,2021-06-04,122.4608,122.9229,21,0.00377,9.7,max_hold,7
ADBE,long,2021-06-04,2021-06-07,498.9794,510.8944,5,0.02388,59.58,signal_fade,3
HD,long,2021-06-07,2021-06-14,274.8501,272.4838,9,-0.00861,-21.3,max_hold,7
MRK,long,2021-06-08,2021-06-15,61.9134,65.1795,43,0.05275,140.44,max_hold,7
DVN,long,2021-06-10,2021-06-17,23.5944,20.9517,115,-0.11201,-303.91,stop_loss,7
BAC,long,2021-06-11,2021-06-18,37.0104,34.5946,73,-0.06527,-176.36,stop_loss,7
GS,long,2021-06-11,2021-06-18,333.0035,312.4731,8,-0.06165,-164.24,stop_loss,7
SLB,long,2021-06-15,2021-06-18,30.5364,28.4369,88,-0.06875,-184.75,stop_loss,3
