period,train_start,train_end,test_start,test_end,train_accuracy,test_accuracy,accuracy_drop,test_return,buy_hold_return,excess_return,max_drawdown,sharpe_ratio,num_trades,win_rate
27,1983-04-21,1984-04-17,1984-04-18,1984-07-18,1.0,0.5714285714285714,0.4285714285714286,0.0,-9.375213858114472,9.375213858114472,0.0,0.0,0,0.0
28,1983-05-20,1984-05-17,1984-05-18,1984-08-16,1.0,0.6190476190476191,0.38095238095238093,22.992657374011504,-5.462538067462863,28.455195441474366,-2.88444111582392,2.77525708848972,4,100.0
29,1983-06-21,1984-06-18,1984-06-19,1984-09-17,1.0,0.5873015873015873,0.4126984126984127,-1.2786664494582545,-2.5530573253636613,1.2743908759054068,-7.3398095498988,-0.2855576519247648,4,50.0
30,1983-07-21,1984-07-18,1984-07-19,1984-10-16,1.0,0.6666666666666666,0.33333333333333337,-1.6696198935716167,-5.910965143596858,4.241345250025241,-3.46295813790266,-0.8731443537703658,4,50.0
31,1983-08-19,1984-08-16,1984-08-17,1984-11-14,1.0,0.5555555555555556,0.4444444444444444,0.4238382514058392,-13.6362749398941,14.06011319129994,-11.428650880643433,0.19580208695417686,3,100.0
32,1983-09-20,1984-09-17,1984-09-18,1984-12-14,1.0,0.5555555555555556,0.4444444444444444,6.0306520905623495,-4.524623689240215,10.555275779802564,-16.667240487186866,0.7786576510983749,1,0.0
33,1983-10-19,1984-10-16,1984-10-17,1985-01-16,1.0,0.47619047619047616,0.5238095238095238,11.6735823944222,21.60850985039908,-9.934927455976881,-17.50053035297067,1.2811681516336382,6,66.66666666666666
34,1983-11-17,1984-11-14,1984-11-15,1985-02-14,1.0,0.5238095238095238,0.47619047619047616,19.354476698443147,16.31568153361247,3.0387951648306775,-6.849669260468816,2.4505010268383094,2,100.0
35,1983-12-19,1984-12-14,1984-12-17,1985-03-18,1.0,0.49206349206349204,0.5079365079365079,-10.131230063333774,-15.277573824494873,5.1463437611610985,-21.696148206063288,-0.9580784760206036,3,100.0
36,1984-01-19,1985-01-16,1985-01-17,1985-04-17,1.0,0.47619047619047616,0.5238095238095238,-18.099988982056004,-19.55589605332345,1.455907071267447,-29.910372403694574,-1.5986378489159165,1,0.0
37,1984-02-17,1985-02-14,1985-02-15,1985-05-16,1.0,0.4603174603174603,0.5396825396825398,-23.66078072236213,-23.66078072236213,0.0,-31.249595560844835,-1.8608887842500206,1,0.0
38,1984-03-20,1985-03-18,1985-03-19,1985-06-17,1.0,0.38095238095238093,0.6190476190476191,-33.14604284064975,-32.38639819940383,-0.7596446412459201,-35.51966827694048,-2.854523651509534,1,0.0
39,1984-04-18,1985-04-17,1985-04-18,1985-07-17,1.0,0.42857142857142855,0.5714285714285714,-22.951236387345155,-22.951236387345155,0.0,-35.519668276940486,-1.8196714847154858,1,0.0
40,1984-05-18,1985-05-16,1985-05-17,1985-08-15,1.0,0.47619047619047616,0.5238095238095238,-30.192259548647172,-33.33333499810875,3.1410754494615745,-30.192259548647172,-2.9284728666508464,3,0.0
41,1984-06-19,1985-06-17,1985-06-18,1985-09-16,1.0,0.5555555555555556,0.4444444444444444,3.1951702359904965,0.0,3.1951702359904965,-4.917750549581139,0.9562055649823068,6,66.66666666666666
42,1984-07-19,1985-07-17,1985-07-18,1985-10-16,1.0,0.42857142857142855,0.5714285714285714,6.666144832431353,4.347480016236749,2.3186648161946044,-14.074493725308221,0.8878789267943963,2,100.0
43,1984-08-17,1985-08-15,1985-08-16,1985-11-14,1.0,0.5238095238095238,0.47619047619047616,-4.70530638443446,36.752906922765405,-41.45821330719986,-8.610583251179515,-1.765875777122636,4,50.0
44,1984-09-18,1985-09-16,1985-09-17,1985-12-16,1.0,0.5396825396825397,0.46031746031746035,0.0,36.885996160092006,-36.885996160092006,0.0,0.0,0,0.0
45,1984-10-17,1985-10-16,1985-10-17,1986-01-16,1.0,0.5396825396825397,0.46031746031746035,0.0,34.24693997249872,-34.24693997249872,0.0,0.0,0,0.0
46,1984-11-15,1985-11-14,1985-11-15,1986-02-14,1.0,0.5396825396825397,0.46031746031746035,7.196105191675617,19.49662284063973,-12.300517648964114,-3.8050416764430954,1.76475976194542,4,100.0
47,1984-12-17,1985-12-16,1985-12-17,1986-03-18,1.0,0.5714285714285714,0.4285714285714286,6.652271354008654,30.30320426452988,-23.650932910521227,-2.9554740100959456,1.7075317644271195,4,100.0
48,1985-01-17,1986-01-16,1986-01-17,1986-04-17,1.0,0.6031746031746031,0.39682539682539686,9.624439877242885,20.832915046966782,-11.208475169723897,-3.8050416764431065,2.0740627307349055,4,100.0
49,1985-02-15,1986-02-14,1986-02-18,1986-05-16,1.0,0.5238095238095238,0.47619047619047616,0.0,50.784765564004466,-50.784765564004466,0.0,0.0,0,0.0
50,1985-03-19,1986-03-18,1986-03-19,1986-06-17,1.0,0.5238095238095238,0.47619047619047616,0.0,29.244984249241135,-29.244984249241135,0.0,0.0,0,0.0
51,1985-04-18,1986-04-17,1986-04-18,1986-07-17,1.0,0.49206349206349204,0.5079365079365079,-8.534682032685492,8.402843597396558,-16.93752563008205,-14.28594855117948,-1.086580913227142,3,100.0
52,1985-05-17,1986-05-16,1986-05-19,1986-08-15,1.0,0.5079365079365079,0.4920634920634921,-0.6943773909920514,0.350855196200639,-1.0452325871926904,-18.93688104733819,0.12980449711017442,1,0.0
53,1985-06-18,1986-06-17,1986-06-18,1986-09-16,1.0,0.5079365079365079,0.4920634920634921,-2.658233329888149,1.8246913732168801,-4.482924703105029,-18.936881047338204,-0.11679607424348738,2,0.0
54,1985-07-18,1986-07-17,1986-07-18,1986-10-15,1.0,0.5873015873015873,0.4126984126984127,10.200949659744897,5.118490027924749,5.082459631820147,-11.188719906200184,1.2673129593044672,3,100.0
55,1985-08-16,1986-08-15,1986-08-18,1986-11-13,1.0,0.6190476190476191,0.38095238095238093,12.487721232688266,0.353297689737575,12.13442354295069,-11.188719906200173,1.9603151198456366,8,100.0
