Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,108.6888879348775,110.57954790758014,108.3529855513797,108.6025161743164,1793200,0.0,0.0
2022-01-04 00:00:00-05:00,109.22633174847398,110.04210409398367,108.25701448782645,108.6025161743164,2273300,0.0,0.0
2022-01-05 00:00:00-05:00,108.76569051364483,109.18796474621934,105.18591124795768,105.24349975585938,2345100,0.0,0.0
2022-01-06 00:00:00-05:00,105.95368412512025,106.16482488167227,103.93826227806434,105.0323486328125,1844400,0.0,0.0
2022-01-07 00:00:00-05:00,104.29337166686109,104.29337166686109,100.67520963775281,100.76158142089844,2999200,0.0,0.0
2022-01-10 00:00:00-05:00,100.11855600848648,100.2145270865285,96.87468670907306,98.96688842773438,4096400,0.0,0.0
2022-01-11 00:00:00-05:00,98.81332501435999,102.75779694259579,98.46782328910403,102.6234359741211,2645100,0.0,0.0
2022-01-12 00:00:00-05:00,103.27606112440635,104.29336780624016,100.34889543519192,101.1934585571289,2260900,0.0,0.0
2022-01-13 00:00:00-05:00,101.48137192263611,102.04761377292473,100.24332515382653,100.51205444335938,1960700,0.0,0.0
2022-01-14 00:00:00-05:00,99.63870049138279,99.94581235656915,96.50999333083625,98.151123046875,3552200,0.0,0.0
2022-01-18 00:00:00-05:00,96.91308128218431,97.07623285494257,94.81128015763906,95.21436309814453,4103200,0.0,0.0
2022-01-19 00:00:00-05:00,95.93415568456592,96.86509054824587,94.87845914759475,95.04161071777344,2118500,0.0,0.0
2022-01-20 00:00:00-05:00,95.41590168930816,96.79790866891099,93.23732815763475,93.50605010986328,2379800,0.0,0.0
2022-01-21 00:00:00-05:00,93.56364116276589,94.70571690233187,91.22191581624277,91.58660888671875,3086000,0.0,0.0
2022-01-24 00:00:00-05:00,89.83030477364764,94.48497195510578,89.19688975511465,94.29302978515625,4575900,0.0,0.0
2022-01-25 00:00:00-05:00,92.04725801687786,94.00509120623836,90.49250037837307,92.71906280517578,3139100,0.0,0.0
2022-01-26 00:00:00-05:00,93.36209323730402,95.31993408917073,90.21419484407204,90.94358825683594,3125200,0.0,0.0
2022-01-27 00:00:00-05:00,92.49833634831019,93.88034334108232,90.6172753426615,91.04915618896484,2214700,0.0,0.0
2022-01-28 00:00:00-05:00,90.55009445468146,91.97049133789223,88.82259304345784,91.91290283203125,4187700,0.0,0.0
2022-01-31 00:00:00-05:00,91.27948912755107,94.00510592056115,91.07794765951505,93.81316375732422,2891500,0.0,0.0
2022-02-01 00:00:00-05:00,94.30262813360328,95.1471839237875,93.59242600332118,94.57135009765625,3762500,0.0,0.0
2022-02-02 00:00:00-05:00,94.99362841552656,95.4063106525753,92.72867576411358,93.41007995605469,2966300,0.0,0.0
2022-02-03 00:00:00-05:00,93.11254692892578,93.36207756125971,90.49250091685025,90.57887268066406,3057100,0.0,0.0
