train_start,train_end,test_start,test_end,accuracy,cumulative_return,trades,correct_predictions
2008-06-27,2010-06-22,2010-06-23,2010-11-11,0.55,0.09891162651921934,100,55
2008-11-18,2010-11-11,2010-11-12,2011-04-06,0.47,0.018346977805481158,100,47
2009-04-15,2011-04-06,2011-04-07,2011-08-29,0.54,0.026322623251659443,100,54
2009-09-04,2011-08-29,2011-08-30,2012-01-23,0.57,0.12698879100574503,100,57
2010-01-29,2012-01-23,2012-01-24,2012-06-14,0.46,0.0,100,46
2010-06-23,2012-06-14,2012-06-15,2012-11-07,0.47,-0.07014360896230223,100,47
2010-11-12,2012-11-07,2012-11-08,2013-04-04,0.5,-0.3055725414658481,100,50
2011-04-07,2013-04-04,2013-04-05,2013-08-26,0.5,-0.07771250406751556,100,50
2011-08-30,2013-08-26,2013-08-27,2014-01-17,0.46,-0.002286875135465623,100,46
2012-01-24,2014-01-17,2014-01-21,2014-06-12,0.56,0.008501540416227065,100,56
2012-06-15,2014-06-12,2014-06-13,2014-11-03,0.44,0.13459189165776653,100,44
2012-11-08,2014-11-03,2014-11-04,2015-03-30,0.44,-0.012901732223253031,100,44
2013-04-05,2015-03-30,2015-03-31,2015-08-20,0.41,0.08755561853378489,100,41
2013-08-27,2015-08-20,2015-08-21,2016-01-13,0.57,0.004871215348103272,100,57
2014-01-21,2016-01-13,2016-01-14,2016-06-07,0.53,-0.07771968941656224,100,53
2014-06-13,2016-06-07,2016-06-08,2016-10-27,0.48,-0.11322686571178206,100,48
2014-11-04,2016-10-27,2016-10-28,2017-03-23,0.53,0.04194012656142486,100,53
2015-03-31,2017-03-23,2017-03-24,2017-08-15,0.45,-0.01875341453730619,100,45
2015-08-21,2017-08-15,2017-08-16,2018-01-08,0.61,0.014806097644869665,100,61
2016-01-14,2018-01-08,2018-01-09,2018-06-01,0.56,0.045018416257460725,100,56
2016-06-08,2018-06-01,2018-06-04,2018-10-23,0.51,0.30633573336771647,100,51
2016-10-28,2018-10-23,2018-10-24,2019-03-20,0.5,-0.1490407348402108,100,50
2017-03-24,2019-03-20,2019-03-21,2019-08-12,0.52,0.0721188996125885,100,52
2017-08-16,2019-08-12,2019-08-13,2020-01-03,0.48,0.023006023648697624,100,48
2018-01-09,2020-01-03,2020-01-06,2020-05-28,0.51,0.029815037655518056,100,51
2018-06-04,2020-05-28,2020-05-29,2020-10-19,0.4,-0.03992441452590424,100,40
2018-10-24,2020-10-19,2020-10-20,2021-03-15,0.51,0.11290796941418929,100,51
2019-03-21,2021-03-15,2021-03-16,2021-08-05,0.59,-0.007180177458153518,100,59
2019-08-13,2021-08-05,2021-08-06,2021-12-28,0.47,0.04326519470098438,100,47
2020-01-06,2021-12-28,2021-12-29,2022-05-20,0.47,0.0869601556498886,100,47
2020-05-29,2022-05-20,2022-05-23,2022-10-13,0.48,0.014888104296313662,100,48
2020-10-20,2022-10-13,2022-10-14,2023-03-09,0.5,-0.1881329756850771,100,50
2021-03-16,2023-03-09,2023-03-10,2023-08-02,0.48,0.1347173842694062,100,48
2021-08-06,2023-08-02,2023-08-03,2023-12-22,0.46,-0.024689148627761358,100,46
2021-12-29,2023-12-22,2023-12-26,2024-05-17,0.5,-0.07722500493569448,100,50
2022-05-23,2024-05-17,2024-05-20,2024-10-10,0.38,-0.016342829042705967,100,38
2022-10-14,2024-10-10,2024-10-11,2025-03-07,0.44,0.012704988891645192,100,44
