datetime,symbol,action,price,shares,cash
2025-06-09 13:30:00+00:00,AAPL,BUY,204.06,1,3295.94
2025-06-09 13:30:00+00:00,NVDA,BUY,143.965,1,3151.975
2025-06-09 13:30:00+00:00,AMZN,BUY,214.39,1,2937.585
2025-06-09 13:30:00+00:00,GOOG,BUY,176.015,1,2761.57
