datetime,cash,holdings,portfolio_value
2025-06-09 13:30:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:31:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3499.3900000000003
2025-06-09 13:32:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3498.985
2025-06-09 13:33:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.4700000000003
2025-06-09 13:34:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.15
2025-06-09 13:35:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3499.8900000000003
2025-06-09 13:36:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.2000000000003
2025-06-09 13:37:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.415
2025-06-09 13:38:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3499.8450000000003
2025-06-09 13:39:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.38
2025-06-09 13:40:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.1150000000002
2025-06-09 13:41:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.58
2025-06-09 13:42:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.125
2025-06-09 13:43:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.385
2025-06-09 13:44:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.755
2025-06-09 13:45:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.17
2025-06-09 13:46:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3499.67
2025-06-09 13:47:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3499.59
2025-06-09 13:48:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.135
2025-06-09 13:49:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.6000000000004
2025-06-09 13:50:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.88
2025-06-09 13:51:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.29
2025-06-09 13:52:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.8650000000002
2025-06-09 13:53:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.59
2025-06-09 13:54:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.945
2025-06-09 13:55:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.3250000000003
2025-06-09 13:56:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.905
2025-06-09 13:57:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.79
2025-06-09 13:59:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.57
2025-06-09 14:00:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.01
2025-06-09 14:01:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.55
2025-06-09 14:02:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.895
2025-06-09 14:03:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.9900000000002
2025-06-09 14:06:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.9900000000002
2025-06-09 14:07:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.045
2025-06-09 14:08:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.88
2025-06-09 14:09:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.695
2025-06-09 14:10:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.0750000000003
2025-06-09 14:11:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.0150000000003
2025-06-09 14:12:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3504.01
2025-06-09 14:14:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.735
2025-06-09 14:15:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.995
2025-06-09 14:16:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.655
2025-06-09 14:17:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.155
2025-06-09 14:20:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.3500000000004
2025-06-09 14:21:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.925
2025-06-09 14:24:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.79
2025-06-09 14:25:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.5750000000003
2025-06-09 14:26:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.66
2025-06-09 14:28:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.635
2025-06-09 14:30:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.86
2025-06-09 14:31:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.09
2025-06-09 14:32:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.415
2025-06-09 14:33:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.48
2025-06-09 14:34:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.61
2025-06-09 14:39:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.75
2025-06-09 14:40:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3504.05
2025-06-09 14:45:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.98
2025-06-09 14:46:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.01
2025-06-09 14:48:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3503.02
2025-06-09 14:49:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.625
2025-06-09 14:53:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.2
2025-06-09 14:54:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.4300000000003
2025-06-09 14:57:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.1000000000004
2025-06-09 14:58:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.235
2025-06-09 14:59:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.3500000000004
2025-06-09 15:00:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.32
2025-06-09 15:01:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.485
2025-06-09 15:02:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.57
2025-06-09 15:03:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.835
2025-06-09 15:04:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.835
2025-06-09 15:05:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.0600000000004
2025-06-09 15:06:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.2200000000003
2025-06-09 15:07:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.1600000000003
2025-06-09 15:08:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.2000000000003
2025-06-09 15:09:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.1450000000004
2025-06-09 15:12:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3502.4750000000004
2025-06-09 15:13:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.905
2025-06-09 15:14:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.835
2025-06-09 15:15:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.8100000000004
2025-06-09 15:16:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.79
2025-06-09 15:19:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.145
2025-06-09 15:20:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.4800000000005
2025-06-09 15:21:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3501.36
2025-06-09 15:22:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.96
2025-06-09 15:23:00+00:00,2761.57,"{'AAPL': 1, 'MSFT': 0, 'NVDA': 1, 'AMZN': 1, 'GOOG': 1, 'META': 0, 'TSLA': 0}",3500.73
