train_start,train_end,test_start,test_end,accuracy,cumulative_return,trades,correct_predictions
2008-11-18,2010-11-11,2010-11-12,2011-04-06,0.44,0.06268462128629643,100,44
2009-04-15,2011-04-06,2011-04-07,2011-08-29,0.53,0.0519139178526305,100,53
2009-09-04,2011-08-29,2011-08-30,2012-01-23,0.54,0.06916971791305532,100,54
2010-01-29,2012-01-23,2012-01-24,2012-06-14,0.46,0.0,100,46
2010-06-23,2012-06-14,2012-06-15,2012-11-07,0.51,-0.05332583237829939,100,51
2010-11-12,2012-11-07,2012-11-08,2013-04-04,0.56,-0.42350392495537714,100,56
2011-04-07,2013-04-04,2013-04-05,2013-08-26,0.51,-0.0345286497382366,100,51
2011-08-30,2013-08-26,2013-08-27,2014-01-17,0.47,-0.027323103980592615,100,47
2012-01-24,2014-01-17,2014-01-21,2014-06-12,0.55,-0.038297562262825574,100,55
2012-06-15,2014-06-12,2014-06-13,2014-11-03,0.46,0.09228012269550441,100,46
2012-11-08,2014-11-03,2014-11-04,2015-03-30,0.44,-0.009994802815518657,100,44
2013-04-05,2015-03-30,2015-03-31,2015-08-20,0.51,0.07594582490719605,100,51
2013-08-27,2015-08-20,2015-08-21,2016-01-13,0.55,-0.031234914129126885,100,55
2014-01-21,2016-01-13,2016-01-14,2016-06-07,0.5,-0.11173306178358304,100,50
2014-06-13,2016-06-07,2016-06-08,2016-10-27,0.45,-0.14584137086029095,100,45
2014-11-04,2016-10-27,2016-10-28,2017-03-23,0.51,0.05534746130537152,100,51
2015-03-31,2017-03-23,2017-03-24,2017-08-15,0.46,0.003790160360605161,100,46
2015-08-21,2017-08-15,2017-08-16,2018-01-08,0.52,0.058207066101077475,100,52
2016-01-14,2018-01-08,2018-01-09,2018-06-01,0.56,0.09594882411721296,100,56
2016-06-08,2018-06-01,2018-06-04,2018-10-23,0.5,0.23662899483847993,100,50
2016-10-28,2018-10-23,2018-10-24,2019-03-20,0.48,-0.16196057398631922,100,48
2017-03-24,2019-03-20,2019-03-21,2019-08-12,0.53,-0.004015447484247536,100,53
2017-08-16,2019-08-12,2019-08-13,2020-01-03,0.46,0.05382625701793665,100,46
2018-01-09,2020-01-03,2020-01-06,2020-05-28,0.52,-0.016387485321244056,100,52
2018-06-04,2020-05-28,2020-05-29,2020-10-19,0.4,0.0,100,40
2018-10-24,2020-10-19,2020-10-20,2021-03-15,0.53,0.2184242185040855,100,53
