,accuracy,auc,precision,recall,f1_score,confusion_matrix,sharpe_ratio,max_drawdown,total_return
random_forest,0.48729380294248775,0.5085069863405576,0.504881836208195,0.48729380294248775,0.4655037160892704,"[[738 304]
 [846 355]]",-0.04793492863281059,-0.7832013417390337,-0.40311192060979684
xgboost,0.5028979045920642,0.5131456351952387,0.5138011158907351,0.5028979045920642,0.4976357768757555,"[[646 396]
 [719 482]]",0.3666432737368232,-0.493390169960314,0.7866179760368699
lightgbm,0.49754792688363797,0.4878939655213746,0.5019370781896197,0.49754792688363797,0.4978255882277833,"[[548 494]
 [633 568]]",0.433953819157776,-0.6816197378561234,1.1245471312511208
gradient_boosting,0.49621043245653146,0.5005114100373809,0.49961656293992474,0.49621043245653146,0.49676226732447265,"[[531 511]
 [619 582]]",0.09074416667166102,-0.6129414265916874,-0.14134831243742618
logistic_regression,0.4810521622826572,0.4974069912948422,0.4994528943599827,0.4810521622826572,0.45195536142479265,"[[763 279]
 [885 316]]",-0.31786271602097915,-0.8701292884531038,-0.7077976664544312
svm,0.5354436023183237,0.49617561181421116,0.2866998512636232,0.5354436023183237,0.37344237304547434,"[[   0 1042]
 [   0 1201]]",0.9650497716332774,-0.3851591229119189,7.615725221789582
ensemble,0.48907712884529647,0.5042694747339469,0.5064926149069436,0.48907712884529647,0.46874078512654066,"[[733 309]
 [837 364]]",-0.03933731786676602,-0.77849738871289,-0.38982377441563
