datetime,cash,holdings,portfolio_value
2025-06-09 13:30:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:31:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:32:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:33:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:34:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:35:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:36:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:37:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:38:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:39:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:40:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:41:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:42:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:43:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:44:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:45:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:46:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:47:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:48:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:49:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:50:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:51:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:52:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:53:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:54:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:55:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:56:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:57:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 13:59:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:00:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:01:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:02:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:03:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:06:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:07:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:08:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:09:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
2025-06-09 14:10:00+00:00,3500,"{'AAPL': 0, 'MSFT': 0, 'NVDA': 0, 'AMZN': 0, 'GOOG': 0, 'META': 0, 'TSLA': 0}",3500.0
