,CallVolume,PutVolume,CallOI,PutOI,TotalVolume,TotalOI,PCR_Volume,PCR_OI,CallIV,PutIV,AvgIV,IV_Skew,ATM_CallIV,ATM_PutIV,ITM_CallIV,OTM_PutIV,CallDelta,PutDelta,CallGamma,PutGamma,CallTheta,PutTheta,CallVega,PutVega,Strike_Range,Strike_Count,CallPut_Ratio,IV_Premium,Skew_Index,DaysToExpiry,Expiry_Type,Spot_Price,ATM_Strike,Expiration
2025-05-19,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.7933293276233956,-0.8791111804272215,0.000371510367746335,0.000547578790553245,-0.6732593762543483,-0.6727691155445973,0.021624139273498613,0.03187238111810168,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,32,Quarterly,196.5800018310547,197.5,2025-06-20
2025-05-20,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.7968359453061866,-0.8824446473738103,0.00037744736654135835,0.0005563164146579032,-0.6840185379159939,-0.6835043809388482,0.021623707051620436,0.0318709951239047,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,31,Quarterly,196.5800018310547,197.5,2025-06-20
2025-05-21,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8004685782178195,-0.8858574360489416,0.00038367840830055687,0.0005654861191497419,-0.6953105707969637,-0.6947705111966449,0.021623246024472718,0.03186951679652653,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,30,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-22,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8042347108286483,-0.8893518727770217,0.0003902285948661195,0.0005751247306345945,-0.7071809650156559,-0.7066127524149189,0.021622753213218788,0.03186793659136451,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,29,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-23,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8081424327699727,-0.892930259889031,0.00039712613435235246,0.0005852736252955702,-0.7196808399460959,-0.7190819404160127,0.021622225213624606,0.03186624360135213,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,28,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-24,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8122004974432959,-0.8965948458291957,0.0004044028535048939,0.0005959794780151158,-0.7328678727267348,-0.7322354211379419,0.021621658117310368,0.03186442530485256,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,27,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-25,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8164183863346743,-0.9003477869061035,0.00041209481728664244,0.0006072951679905558,-0.7468074210878912,-0.7461381632964941,0.021621047414836395,0.0318624672554222,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,26,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-26,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8208063792551503,-0.904191098503758,0.0004202430832617152,0.0006192808810066566,-0.7615738904631894,-0.7608641126651072,0.021620387875538855,0.03186035269718169,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,25,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-27,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8253756305235527,-0.9081265929655866,0.00042889462686638576,0.0006320054609121096,-0.7772524107861939,-0.7764978525329697,0.0216196733973368,0.03185806208411608,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,24,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-28,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8301382507618702,-0.912155800581971,0.00043810348528414074,0.0006455480797431374,-0.7939409094463056,-0.7931366556610141,0.021618896817375385,0.03185557247409305,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,23,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-29,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8351073934085681,-0.9162798690911882,0.0004479321837074232,0.0006600003192673444,-0.8117526959921106,-0.8108930417192028,0.021618049671049525,0.0318528567577752,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,22,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-30,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.8402973441518359,-0.9204994357663112,0.0004584535302528612,0.000675468789351088,-0.8308197149167993,-0.829897994278731,0.02161712188220978,0.03184988266744844,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,21,Monthly,196.5800018310547,197.5,2025-06-20
2025-05-31,224621,328326,763616,500654,552947,1264270,1.4616888002457473,0.6556358169551189,2.663938018615723,2.108872267355617,2.3864051429856703,-0.555065751260106,0.20557435058593748,0.23731231445312498,4.111298183482777,1.076211561314174,0.845723610056201,-0.9248144644007645,0.000469752897707763,0.000692078454831827,-0.8512966806900671,-0.8503050482913203,0.02161610136047603,0.03184661148881973,355.0,159,0.6841401533841365,2.18640514298567,-0.2325949358982919,20,Monthly,196.5800018310547,197.5,2025-06-20
