Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,96.11831584297761,96.1457771014858,94.77265830372897,96.12747192382812,941600,0.0,0.0
2022-01-04 00:00:00-05:00,96.24645651236318,98.34275168840514,95.9901421649069,97.27172088623047,1174300,0.0,0.0
2022-01-05 00:00:00-05:00,97.29917120797819,98.55328853460259,97.27170995727074,97.58294677734375,855100,0.0,0.0
2022-01-06 00:00:00-05:00,98.03152542415367,98.35192539995664,96.53940550022006,96.82318115234375,916700,0.0,0.0
2022-01-07 00:00:00-05:00,96.61263455447269,96.90556627046101,95.97184162421865,96.38378143310547,1245900,0.0,0.0
2022-01-10 00:00:00-05:00,96.5027811583235,96.87810362432509,95.79791662759757,96.25562286376953,855000,0.0,0.0
2022-01-11 00:00:00-05:00,96.55771509745608,96.82317858068934,94.56211553658734,95.78876495361328,856300,0.0,0.0
2022-01-12 00:00:00-05:00,95.26696996936683,95.96268536190298,94.80926376081139,95.38597106933594,909700,0.0,0.0
2022-01-13 00:00:00-05:00,95.35851621871565,97.3998891189538,95.32189888148683,97.02456665039062,1721400,0.0,0.0
2022-01-14 00:00:00-05:00,96.74993402573422,97.2808678837123,95.72466967397563,97.07948303222656,1118700,0.0,0.0
2022-01-18 00:00:00-05:00,96.43869995956038,96.83232759139706,94.78180566426869,96.4936294555664,1121900,0.0,0.0
2022-01-19 00:00:00-05:00,96.73163032119577,98.39768067337761,96.40208128590331,96.4295425415039,965800,0.0,0.0
2022-01-20 00:00:00-05:00,96.42952833634615,96.84146806179967,95.55073336637021,96.1365966796875,1339200,0.0,0.0
2022-01-21 00:00:00-05:00,96.10914731916863,97.06117706710884,95.66975327183773,95.74298095703125,1350700,0.0,0.0
2022-01-24 00:00:00-05:00,95.75214016872503,96.37462090950703,91.3764698073645,93.66500091552734,1270000,0.0,0.0
2022-01-25 00:00:00-05:00,93.1248980762975,95.66058712127052,92.62141850835833,95.12964630126953,1566200,0.0,0.0
2022-01-26 00:00:00-05:00,94.96489873315954,96.42955745879063,94.06779831922964,94.88251495361328,1564600,0.0,0.0
2022-01-27 00:00:00-05:00,95.57821309525823,97.45480434562371,95.32189175382285,95.96268463134766,1259700,0.0,0.0
2022-01-28 00:00:00-05:00,95.72467867563199,97.1893371844177,94.8184223145775,97.13441467285156,1271600,0.0,0.0
2022-01-31 00:00:00-05:00,96.20984348924868,98.45260809804562,95.83452803052943,98.15052032470703,2251500,0.0,0.0
2022-02-01 00:00:00-05:00,98.20544385830826,98.22375601787614,96.42954151852123,97.29003143310547,1119300,0.0,0.0
2022-02-02 00:00:00-05:00,96.87810185335597,98.34276038552309,96.62178748323207,97.75689697265625,1104400,0.0,0.0
2022-02-03 00:00:00-05:00,97.73857799037523,98.06812701011582,96.64924199338377,97.74773406982422,964700,0.0,0.0
2022-02-04 00:00:00-05:00,97.02456683832608,97.77520479286343,95.84368390057041,96.81402587890625,951200,0.0,0.0
2022-02-07 00:00:00-05:00,96.85064072736338,97.436504141018,95.93522827052269,96.97879791259766,871800,0.0,0.0
2022-02-08 00:00:00-05:00,97.26257214259415,97.9491314753654,96.9055618482765,97.55550384521484,1063100,0.0,0.0
2022-02-09 00:00:00-05:00,97.27172437705758,99.98134426518853,97.27172437705758,99.64263916015625,1203600,0.0,0.0
2022-02-10 00:00:00-05:00,98.91031727446034,99.18493681697552,96.50277807922538,96.98794555664062,940700,0.0,0.0
2022-02-11 00:00:00-05:00,97.1069581291913,98.69977389828459,96.64009580609665,97.65620422363281,859600,0.0,0.0
2022-02-14 00:00:00-05:00,97.83928466217823,98.1047551230288,95.68806670209482,97.01541900634766,1040000,0.0,0.0
2022-02-15 00:00:00-05:00,97.32664648566798,97.80265786263116,96.18238098100012,96.60346984863281,860300,0.0,0.0
2022-02-16 00:00:00-05:00,96.79570355889031,97.53719233931085,95.91690850806063,97.11609649658203,706400,0.0,0.0
2022-02-17 00:00:00-05:00,97.49383547441515,98.77446647228643,96.52644911010846,98.26774597167969,961900,0.68,0.0
