Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,327.52169021870674,327.6625136489476,314.54662334621275,318.8935546875,638200,0.0,0.0
2022-01-04 00:00:00-05:00,320.63978310867185,323.8131377215636,318.16120508583407,322.1231994628906,588200,0.0,0.0
2022-01-05 00:00:00-05:00,323.27799312693946,323.9633719664941,316.3398252872856,316.734130859375,578100,0.0,0.0
2022-01-06 00:00:00-05:00,316.5182524093213,319.0907226968724,312.1713208608706,314.6217346191406,453500,0.0,0.0
2022-01-07 00:00:00-05:00,315.5605477005901,315.5605477005901,307.60842276954884,307.833740234375,613400,0.0,0.0
2022-01-10 00:00:00-05:00,304.0031326402247,310.8568340559152,297.49683380750724,309.96490478515625,766500,0.0,0.0
2022-01-11 00:00:00-05:00,311.9929245267063,314.92216652445495,305.52418655697255,314.5184631347656,502800,0.0,0.0
2022-01-12 00:00:00-05:00,316.7998073269921,318.94040890262335,311.09154600922835,314.6122741699219,594100,0.0,0.0
2022-01-13 00:00:00-05:00,314.98789533860906,316.19903416583344,309.5425124834769,309.83355712890625,414800,0.0,0.0
2022-01-14 00:00:00-05:00,306.60384487534895,308.49093600971327,301.1021044943797,305.1767578125,677800,0.0,0.0
2022-01-18 00:00:00-05:00,301.0645501746349,302.3695519820501,296.35144991967684,298.0883483886719,659800,0.0,0.0
2022-01-19 00:00:00-05:00,299.2149511603754,304.81055355711766,296.0979263994134,296.3326416015625,532600,0.0,0.0
2022-01-20 00:00:00-05:00,297.63772282118043,301.7968990908498,293.6100295044779,294.5676574707031,518600,0.0,0.0
2022-01-21 00:00:00-05:00,294.8774293743803,300.65144703656955,292.14536927156183,295.03704833984375,594200,0.0,0.0
2022-01-24 00:00:00-05:00,291.0468768521066,293.54425026588757,280.40959554038335,292.7180480957031,1100700,0.0,0.0
2022-01-25 00:00:00-05:00,286.4370491038648,288.15518047925065,278.165687428338,283.1885986328125,868100,0.0,0.0
2022-01-26 00:00:00-05:00,284.0148246720745,287.9580233255013,276.100205380308,279.818115234375,848300,0.0,0.0
2022-01-27 00:00:00-05:00,276.8606883776036,279.3298683328568,267.63167022484475,269.4342956542969,1442400,0.0,0.0
2022-01-28 00:00:00-05:00,267.8664429397983,269.35922856582806,258.53416184353,267.1998596191406,1312500,0.0,0.0
2022-01-31 00:00:00-05:00,266.91820522886906,271.9035554890374,263.10643136990365,271.53741455078125,850400,0.0,0.0
2022-02-01 00:00:00-05:00,273.1240615564712,273.6592192119239,265.7633946304907,272.36358642578125,667100,0.0,0.0
2022-02-02 00:00:00-05:00,273.6592028776974,277.48974298691365,272.89872779239886,276.3537292480469,915900,0.0,0.0
2022-02-03 00:00:00-05:00,273.1053784037163,274.69202764744006,266.38312803057903,267.3125915527344,645700,0.0,0.0
2022-02-04 00:00:00-05:00,264.7119032048473,267.45336161948825,259.4542752231472,263.51953125,752600,0.0,0.0
2022-02-07 00:00:00-05:00,263.62277804024313,267.22800070291896,261.8389479394275,263.1345520019531,498100,0.0,0.0
2022-02-08 00:00:00-05:00,263.153366020303,265.2094739673559,260.993968461072,263.8481140136719,643800,0.0,0.0
2022-02-09 00:00:00-05:00,267.32189178948505,270.51401332712146,266.99328472272185,268.9179382324219,697900,0.0,0.0
2022-02-10 00:00:00-05:00,264.07341257970137,268.3640140542939,258.2806564866786,260.3742980957031,726500,0.0,0.0
2022-02-11 00:00:00-05:00,261.119091739817,262.2785839837881,251.76781052574918,252.95558166503906,674100,1.12,0.0
2022-02-14 00:00:00-05:00,253.11572142168626,254.46372937146077,250.259439350124,252.98373413085938,505700,0.0,0.0
2022-02-15 00:00:00-05:00,257.2447065639451,258.1213809754151,254.00192606221495,256.6885070800781,605500,0.0,0.0
2022-02-16 00:00:00-05:00,255.77408405491232,258.52668714660155,253.58711625882208,257.3577880859375,623700,0.0,0.0
2022-02-17 00:00:00-05:00,255.65155412464512,255.65155412464512,250.1180692104419,251.18328857421875,769800,0.0,0.0
2022-02-18 00:00:00-05:00,251.63579247073602,253.05923032394801,248.80778853536515,249.42051696777344,561100,0.0,0.0
2022-02-22 00:00:00-05:00,249.42995531222687,249.90128930610186,244.68833648456237,248.79835510253906,715200,0.0,0.0
2022-02-23 00:00:00-05:00,249.92010670322713,252.0222664569875,241.5303682254323,242.45419311523438,504900,0.0,0.0
2022-02-24 00:00:00-05:00,237.78797228206474,252.23905819734847,236.27969792331783,250.80621337890625,1236300,0.0,0.0
2022-02-25 00:00:00-05:00,251.0135949494514,254.5674424016818,248.03476107940568,253.8415985107422,705400,0.0,0.0
2022-02-28 00:00:00-05:00,251.3058836405861,258.3947373485589,247.7614424026261,251.29644775390625,1206200,0.0,0.0
2022-03-01 00:00:00-05:00,251.27759632417886,251.27759632417886,245.37648504987234,247.09214782714844,737400,0.0,0.0
2022-03-02 00:00:00-05:00,249.46767993716676,255.5101566614447,247.99709135170116,253.3325958251953,540400,0.0,0.0
2022-03-03 00:00:00-05:00,255.86835329034912,257.1598037715393,253.0026634517748,254.95396423339844,757900,0.0,0.0
2022-03-04 00:00:00-05:00,250.98533697901152,253.87933443552637,249.0246003376898,253.6342315673828,685700,0.0,0.0
2022-03-07 00:00:00-05:00,254.520372565005,256.6602186741837,249.16602496498152,249.3734130859375,679100,0.0,0.0
2022-03-08 00:00:00-05:00,253.4834186567024,261.3924169606758,249.89185588932722,257.781982421875,1406900,0.0,0.0
2022-03-09 00:00:00-05:00,263.77730871654524,265.5023781196789,254.94451609984313,255.5006866455078,1036700,0.0,0.0
2022-03-10 00:00:00-05:00,250.30662798240633,251.62635740294618,244.16044309935276,247.49746704101562,911800,0.0,0.0
2022-03-11 00:00:00-05:00,249.5807773709492,250.86279198318817,241.95459705494807,242.2751007080078,700900,0.0,0.0
2022-03-14 00:00:00-04:00,245.09365568910857,246.80931818323828,238.35358591124637,241.65292358398438,741000,0.0,0.0
2022-03-15 00:00:00-04:00,242.4635981888158,248.6852119716771,242.4635981888158,246.05516052246094,679300,0.0,0.0
2022-03-16 00:00:00-04:00,247.7991268379967,253.7567953648021,247.3937865116585,253.08750915527344,755800,0.0,0.0
2022-03-17 00:00:00-04:00,251.62634726085895,256.6507835098958,251.62634726085895,255.4630126953125,569100,0.0,0.0
2022-03-18 00:00:00-04:00,257.79143051147724,260.6382776409184,253.45515176611758,260.01611328125,949400,0.0,0.0
2022-03-21 00:00:00-04:00,258.85663045872576,260.05380842482816,254.567473932088,257.2635192871094,613700,0.0,0.0
2022-03-22 00:00:00-04:00,258.5549855285232,259.82759311971245,256.44341835187726,258.43243408203125,534900,0.0,0.0
2022-03-23 00:00:00-04:00,256.3303092191506,257.7537184146978,253.63426363255635,254.93515014648438,452800,0.0,0.0
2022-03-24 00:00:00-04:00,256.55656011053446,259.2337341308594,254.95401279236444,259.2337341308594,422100,0.0,0.0
2022-03-25 00:00:00-04:00,259.8369575252221,263.937539303962,258.9791264037106,263.1739807128906,526500,0.0,0.0
2022-03-28 00:00:00-04:00,260.37423757250514,264.305174542575,259.53527827815304,264.1731872558594,481800,0.0,0.0
2022-03-29 00:00:00-04:00,267.94394444276264,271.8466037907259,265.98320765093655,268.55670166015625,626200,0.0,0.0
2022-03-30 00:00:00-04:00,266.7373300603238,267.321779619283,263.5982582683886,264.6257629394531,656800,0.0,0.0
2022-03-31 00:00:00-04:00,263.9281588757026,267.44429159636167,263.45682494378025,263.97528076171875,1083000,0.0,0.0
2022-04-01 00:00:00-04:00,265.8888971123179,268.42467598406796,262.97605684615377,268.170166015625,740500,0.0,0.0
2022-04-04 00:00:00-04:00,266.8504584493925,267.71772571170686,263.5888350573663,265.04998779296875,666000,0.0,0.0
2022-04-05 00:00:00-04:00,265.54013937139155,267.3877605139148,261.82602531570274,263.0986328125,756100,0.0,0.0
2022-04-06 00:00:00-04:00,257.15038929100183,259.33735699614596,253.76621491905146,256.62249755859375,814500,0.0,0.0
2022-04-07 00:00:00-04:00,254.8503119821027,256.9241644224735,251.2210342515216,255.51016235351562,665200,0.0,0.0
2022-04-08 00:00:00-04:00,255.49130516891628,259.2431341401131,252.47475608205067,253.9641876220703,472100,0.0,0.0
2022-04-11 00:00:00-04:00,252.72926552106594,255.39700297560006,250.25948026720096,250.82505798339844,495900,0.0,0.0
2022-04-12 00:00:00-04:00,251.5132215879627,254.89739591686345,247.0449849212264,247.83682250976562,455800,0.0,0.0
2022-04-13 00:00:00-04:00,247.63883629018125,251.89024839822113,247.02607922136247,251.73001098632812,460600,0.0,0.0
2022-04-14 00:00:00-04:00,251.74887851661222,252.6255527295116,246.48880447127556,246.65847778320312,509800,0.0,0.0
2022-04-18 00:00:00-04:00,245.92321474814761,249.7881590236451,245.3010504607604,246.47938537597656,422300,0.0,0.0
2022-04-19 00:00:00-04:00,247.35606049223128,255.67983447175533,246.6773384280342,255.378173828125,529300,0.0,0.0
2022-04-20 00:00:00-04:00,257.6782926329228,261.2698552592732,256.3868421305269,256.91473388671875,607500,0.0,0.0
2022-04-21 00:00:00-04:00,260.2894616854032,264.38063700947464,256.0568919268017,256.179443359375,615000,0.0,0.0
2022-04-22 00:00:00-04:00,254.1621092990443,254.1621092990443,245.44243140573997,245.59326171875,594000,0.0,0.0
2022-04-25 00:00:00-04:00,244.2546713117823,246.76217143492542,238.0142286587914,246.32855224609375,613900,0.0,0.0
2022-04-26 00:00:00-04:00,244.4997815048615,245.58384389340154,237.5806022063852,237.7502899169922,752800,0.0,0.0
2022-04-27 00:00:00-04:00,238.29701718286188,243.75505811105842,238.29701718286188,242.0677032470703,576000,0.0,0.0
2022-04-28 00:00:00-04:00,244.61287401177017,249.1188252360177,241.87914296883122,248.2515869140625,464700,0.0,0.0
2022-04-29 00:00:00-04:00,246.99786689456135,249.35453696985164,237.41094913832993,238.18392944335938,1077700,0.0,0.0
2022-05-02 00:00:00-04:00,236.60964893250414,238.7212302605696,230.86880472729084,235.70468139648438,1572800,0.0,0.0
2022-05-03 00:00:00-04:00,215.44674898330078,216.81361454603606,198.54470624793865,201.48583984375,4018500,0.0,0.0
2022-05-04 00:00:00-04:00,200.79770390491828,210.53546599355502,199.7042199654331,209.60223388671875,1792300,0.0,0.0
