Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,143.85958751564033,144.00612782177348,139.47296382674702,140.3620147705078,850400,0.0,0.0
2022-01-04 00:00:00-05:00,141.17291611352815,143.14641018761188,140.6160330950781,142.72630310058594,774000,0.0,0.0
2022-01-05 00:00:00-05:00,143.20501350187513,144.1233724910402,139.9907570397975,140.12753295898438,1050900,0.0,0.0
2022-01-06 00:00:00-05:00,140.44992764181507,142.65790079276516,139.91260329096676,141.80792236328125,761100,0.0,0.0
2022-01-07 00:00:00-05:00,141.75908846803884,142.4625117102814,139.04309896894648,139.10171508789062,834300,0.0,0.0
2022-01-10 00:00:00-05:00,137.7925528401522,138.11495639168032,135.2719703599434,137.00120544433594,973300,0.0,0.0
2022-01-11 00:00:00-05:00,137.34316883410614,139.38504332662848,135.40876220474064,139.297119140625,883600,0.0,0.0
2022-01-12 00:00:00-05:00,140.50854654595992,141.93492164591447,139.7367279758522,140.30337524414062,828600,0.0,0.0
2022-01-13 00:00:00-05:00,140.65508730529749,141.44643464401443,139.3459444262483,140.74301147460938,839900,0.0,0.0
2022-01-14 00:00:00-05:00,139.46321347698054,140.00055283263933,136.41505554300187,138.28106689453125,938100,0.0,0.0
2022-01-18 00:00:00-05:00,136.835152057021,136.9035474805649,134.1875574597577,136.34666442871094,1036500,0.0,0.0
2022-01-19 00:00:00-05:00,136.7081336514828,137.57765589745537,135.37946168023325,135.6432342529297,831700,0.0,0.0
2022-01-20 00:00:00-05:00,136.06329659244994,137.38220374451532,133.16167998747096,133.47430419921875,682600,0.0,0.0
2022-01-21 00:00:00-05:00,133.37664939918432,134.30477279451557,132.0674913906298,133.27894592285156,1411100,0.0,0.0
2022-01-24 00:00:00-05:00,131.5399193121289,133.42548889870054,128.6773895891302,133.19100952148438,1232400,0.0,0.0
2022-01-25 00:00:00-05:00,130.71928101249355,131.891648237558,126.94815625177318,130.8072052001953,1514200,0.0,0.0
2022-01-26 00:00:00-05:00,132.1358536988808,133.9237195341261,128.67736915210472,130.3186798095703,1380600,0.0,0.0
2022-01-27 00:00:00-05:00,131.4715437487362,132.57551545271693,128.75553930987385,129.41012573242188,953600,0.0,0.0
2022-01-28 00:00:00-05:00,129.13655406128092,132.02840674858328,127.41708335184411,131.88186645507812,956600,0.0,0.0
2022-01-31 00:00:00-05:00,131.5399185255399,133.76742041967685,130.6020159297399,133.62088012695312,889200,0.0,0.0
2022-02-01 00:00:00-05:00,133.53290843412182,134.1972590496274,131.90136230792393,133.9334716796875,892900,0.0,0.0
2022-02-02 00:00:00-05:00,133.9628132603318,136.59087851383453,133.9628132603318,136.5713348388672,1535000,0.0,0.0
2022-02-03 00:00:00-05:00,131.5496731234595,140.17636385652997,131.5496731234595,135.07655334472656,1260100,0.0,0.0
2022-02-04 00:00:00-05:00,135.05702778924035,135.05702778924035,130.93419214479795,131.39337158203125,1076200,0.0,0.0
2022-02-07 00:00:00-05:00,131.63761362867655,133.14214853238778,131.11003879347874,132.1456298828125,816400,0.0,0.0
2022-02-08 00:00:00-05:00,132.32149026236368,133.27892154397355,131.43243947571287,132.34103393554688,1478700,0.0,0.0
2022-02-09 00:00:00-05:00,133.95304436919355,134.1582156808065,132.61459337436258,133.3766326904297,1311800,0.0,0.0
2022-02-10 00:00:00-05:00,131.56924975902902,134.53926274599468,131.44223821132564,132.37037658691406,1373200,0.0,0.0
2022-02-11 00:00:00-05:00,132.16515930873095,132.16515930873095,127.10443663434945,127.79808044433594,1238500,0.0,0.0
2022-02-14 00:00:00-05:00,127.79808313623805,128.26702690994003,126.31307712748563,127.16305541992188,1085200,0.0,0.0
2022-02-15 00:00:00-05:00,128.3549692888539,129.44917642485223,127.65154615643952,128.38427734375,777700,0.0,0.0
2022-02-16 00:00:00-05:00,127.47567533809493,129.16585257633616,126.95787985578733,128.76528930664062,712000,0.0,0.0
2022-02-17 00:00:00-05:00,127.60271434656879,127.96419035167922,124.89648923160163,125.36544799804688,1029300,0.0,0.0
2022-02-18 00:00:00-05:00,125.17982941629374,126.34243221769417,124.56433030791527,125.26775360107422,777000,0.0,0.0
2022-02-22 00:00:00-05:00,125.06256716823849,126.15678932967458,123.38217639195044,124.50569915771484,1105600,0.0,0.0
2022-02-23 00:00:00-05:00,125.13096343322403,125.42405892325127,121.77993878747927,121.89717102050781,1187700,0.0,0.0
2022-02-24 00:00:00-05:00,119.75760026763135,125.08211116857707,118.99556094127354,124.67178344726562,1196200,0.0,0.0
2022-02-25 00:00:00-05:00,124.48615209729714,127.22168506530004,124.21260029124238,126.8797378540039,818000,0.0,0.0
2022-02-28 00:00:00-05:00,125.5999147830558,127.04583373753827,125.20913071128975,126.80158996582031,1211900,0.0,0.0
2022-03-01 00:00:00-05:00,126.59643360029,126.92860155217991,123.49942436246678,124.45685577392578,1986100,0.0,0.0
2022-03-02 00:00:00-05:00,125.64875560135906,128.76530824287838,125.50221531404377,127.97396087646484,878200,0.0,0.0
2022-03-03 00:00:00-05:00,128.56990142659777,128.81414514898304,126.42054474364421,128.03256225585938,907200,0.0,0.0
2022-03-04 00:00:00-05:00,126.07862698742454,128.27682074188678,125.73667977374822,127.97396087646484,1095100,0.0,0.0
2022-03-07 00:00:00-05:00,128.15956791601428,128.4624426754481,125.23842233051563,126.51825714111328,1209300,0.0,0.0
2022-03-08 00:00:00-05:00,127.40734644501414,129.0682013952321,125.84418007571526,125.86372375488281,1446300,0.0,0.0
2022-03-09 00:00:00-05:00,128.2124601042067,128.91708671022923,127.23381369950424,127.72313690185547,784800,0.22,0.0
2022-03-10 00:00:00-05:00,126.08878121263108,126.43131337860171,125.14928169410462,125.44287109375,1186200,0.0,0.0
2022-03-11 00:00:00-05:00,126.30408518608179,126.44109506653005,123.52473336387023,123.64216613769531,1126900,0.0,0.0
2022-03-14 00:00:00-04:00,124.82632824049418,125.41350701221666,123.1724137408402,124.37614440917969,922600,0.0,0.0
2022-03-15 00:00:00-04:00,124.6305905024096,126.99891995101686,124.12169777008808,126.61724853515625,1228400,0.0,0.0
2022-03-16 00:00:00-04:00,127.46867935638528,128.9170716853104,126.35302318236937,128.57455444335938,959400,0.0,0.0
2022-03-17 00:00:00-04:00,127.9286326094199,130.3654670261562,127.20442904470218,129.915283203125,796900,0.0,0.0
2022-03-18 00:00:00-04:00,129.20088869055598,132.4695637482244,128.06565539879267,131.8823699951172,1372400,0.0,0.0
2022-03-21 00:00:00-04:00,131.78449984109358,132.8805787979409,131.10923157912305,131.81385803222656,1122600,0.0,0.0
2022-03-22 00:00:00-04:00,132.20528035176648,132.91970266077286,131.71595736732766,131.7453155517578,973800,0.0,0.0
2022-03-23 00:00:00-04:00,131.0700649197419,131.6670396376709,129.58253360043872,129.71954345703125,866400,0.0,0.0
2022-03-24 00:00:00-04:00,130.32631495286762,130.78627986958918,129.36724584123718,129.67062377929688,869700,0.0,0.0
