Date,Close,High,Low,Open,Volume
2023-06-20,183.17599487304688,184.25520121093788,182.5819517231594,182.5819517231594,49799100
2023-06-21,182.1363983154297,183.5720213426237,180.77996894802237,183.06706733943585,49515700
2023-06-22,185.1462554931641,185.1957628610581,181.84926421078356,181.9185775473408,51245300
2023-06-23,184.82943725585935,185.7007186660485,183.17599374881704,183.71064919871637,53079300
2023-06-26,183.4334259033203,186.1858666024825,183.39381396241689,184.9779592329188,48088700
2023-06-27,186.19577026367188,186.5225008066865,183.8294627923201,184.04728315432985,50730800
2023-06-28,187.3739471435547,188.0174975900725,185.7403097900696,186.0670251747448,51216800
2023-06-29,187.71055603027344,188.18580857990537,187.06700564216163,187.2056171922561,46347300
2023-06-30,192.0471649169922,192.55210381756805,189.36402266288647,189.73036510372253,85069600
2023-07-03,190.5521240234375,191.95804555395165,189.8590511343232,191.85903082478487,31458200
2023-07-05,189.433349609375,191.06698713435688,188.7303811843197,189.6709759307026,46920300
2023-07-06,189.90855407714844,190.1164789605468,187.3244268243397,187.9580817966842,45094300
2023-07-07,188.789794921875,190.7600736263988,188.35416930217096,189.5125693591173,46778000
2023-07-10,186.74029541015625,188.1066202001988,185.18585168727856,187.3838458679872,59922200
2023-07-11,186.2155303955078,187.42343752111745,184.7502061361305,187.28482597100776,46638100
2023-07-12,187.88882446289065,189.7996852254477,186.6017082712176,187.7997051463105,60750200
2023-07-13,188.6511688232422,189.29473443261008,187.89870814797317,188.6115719908716,41342300
2023-07-14,188.79969787597656,189.28483085110776,187.750208043004,188.34425119556795,41573900
2023-07-17,192.06700134277344,192.393731897614,189.90860361588065,189.99770782878343,50520200
2023-07-18,191.80953979492188,192.40359800546008,190.5125283130256,191.433317028607,48353800
2023-07-19,193.16598510742188,196.2649472303636,190.7402598040341,191.18581105243047,80507300
2023-07-20,191.21551513671875,194.52240222913116,190.59175546623808,193.15607727761312,59581200
2023-07-21,190.0373077392578,193.03727024392956,189.33433929774543,192.17589935868597,71917800
2023-07-24,190.8392639160156,192.9778554020486,190.34422042985216,191.4927249435582,45377800
2023-07-25,191.70062255859372,192.5125010758936,191.0075647435374,191.4135040021873,37283200
2023-07-26,192.5718994140625,193.7005978603117,191.40360413966724,191.75012548540772,47471900
2023-07-27,191.3046112060547,195.24515323301043,190.6412547294524,194.07685782549476,47460200
2023-07-28,193.88873291015625,194.68080550669023,192.21548351570436,192.7402284005584,48291400
2023-07-31,194.50259399414065,194.54220593555127,193.3243880114047,194.1164606567971,38824100
2023-08-01,193.67091369628903,194.77980627337752,193.34418318178373,194.29467332466547,35175100
2023-08-02,190.6709442138672,193.24516118654293,189.94818497968632,193.1065496196106,50389300
2023-08-03,189.27493286132807,190.46303425792703,188.79969532419432,189.6709767318804,61235200
2023-08-04,180.1859436035156,185.52251207833032,180.11663025996506,183.68094960257173,115799700
2023-08-07,177.0770721435547,181.31464344213896,175.5919415919706,180.32455640774955,97576100
2023-08-08,178.01763916015625,178.48298124186843,175.81964489133262,177.9087289898081,67823000
2023-08-09,176.42361450195312,179.13644336005612,175.25530392276485,179.07704055404358,60378500
2023-08-10,176.20578002929688,178.95822060931928,175.8394526832055,177.70080592181807,54686900
2023-08-11,176.26527404785156,177.08815781935616,175.03591791571532,175.7993186650753,51988100
2023-08-14,177.92095947265625,178.14898275911253,175.78938877461678,176.44373225185288,43675600
